"compoundId","Early_1-pbs_751-1","Early_1-pbs_751-2","Early_1-pbs_751-3","Early_1-pbs_752-4","Early_1-pbs_752-5","Early_1-pbs_752-6","Early_2-ct26_739-1","Early_2-ct26_739-2","Early_2-ct26_739-3","Early_2-ct26_740-4","Early_2-ct26_740-5","Early_2-ct26_740-6","Early_3-c26_747-1","Early_3-c26_747-2","Early_3-c26_747-3","Early_3-c26_748-4","Early_3-c26_748-5","Early_3-c26_748-6","Mid_1-pbs_749-1","Mid_1-pbs_749-2","Mid_1-pbs_749-3","Mid_1-pbs_750-4","Mid_1-pbs_750-5","Mid_1-pbs_750-6","Mid_2-ct26_735-1","Mid_2-ct26_735-2","Mid_2-ct26_735-3","Mid_2-ct26_736-4","Mid_2-ct26_736-5","Mid_2-ct26_736-6","Mid_3-c26_745-1","Mid_3-c26_745-2","Mid_3-c26_745-3","Mid_3-c26_746-4","Mid_3-c26_746-5","Mid_3-c26_746-6"
"[(1S,6S,7R)-6-(acetyloxy)-1-[(3-methylbutanoyl)oxy]-4a,5,6,7a-tetrahydro-1H-spiro[cyclopenta[c]pyran-7,2'-oxirane]-4-yl]methyl 3-methylbutanoate",0,0,216873.025972251,271286.513965212,188438.518322245,273756.911804975,0,141500.565422406,817.262298095508,210390.662056605,140460.585818047,227066.71237763,0,12.6259493488847,221304.277490148,49887.1842084151,160965.666483307,414439.269284865,4033.03617163754,2645.25984115558,5332.77341371031,1476.30450548872,7916.63574428542,4959.4868939326,5227.09130037006,12209.0983030627,14325.1109105601,4328.40120113485,8011.72911507448,5103.7167778524,1622.15101410461,3259.15497260495,85769.7414835852,4096.01939690891,5155.15710511061,5332.34179438783
"[4]-Gingerol",8400.54388763012,3280.78706942129,27155.5980226302,43721.1114452702,23524.2735394577,36570.8907392679,7872.10641130505,23515.2995073248,10265.68,22647.657541873,39692.3451415525,44750.0731186526,3008.9412180492,7422.44492126989,46892.3915966958,4356.15040801346,37730.6438471715,51374.1214173873,8122.42036817924,7631.96433935295,7726.48463750672,6639.31906171356,9173.14831030656,6653.3465842403,4778.25689045535,12160.3527820869,8123.29515328825,8340.62294351734,7876.05204250965,7577.25305213613,6494.15914928302,4122.17374827092,10613.1146360815,7497.51393221609,7545.68348863134,7703.78714002766
"[5-(5-amino-3-oxo-2,3-dihydro-1,2,4-triazin-2-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl benzoate isomer",305434.606076267,176288.431650561,296505.046939528,200059.675276657,308477.824126225,539965.124709419,218484.157761937,359740.481446059,440578.236437206,279802.132511802,444541.175895479,466869.884533335,211204.965202953,155550.126892909,505161.127166211,905172.88485395,995841.654924431,2499255.84176541,419307.875845771,276350.216080817,571466.61492973,201924.568248311,606853.264856164,158057.970738797,444981.769979964,213300.371591292,224222.919369257,201126.407685003,199150.587099638,609884.338794908,541244.593361357,2015951.6054084,1449586.52301547,1296504.50070362,2962724.00770688,1420010.54151327
"1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",190276.24442433,58318.9184447957,64919.0527840134,71009.9498599831,81495.5700361229,86411.2583305032,59685.0094053018,58517.6742502414,75139.8724083926,69304.5457887457,91510.8855693825,131492.460949282,114801.42072591,65835.060409869,167160.699973759,163461.967540386,130843.875075183,118746.77573312,86063.8276906766,66765.7670131363,96954.9810647412,91843.6507556188,132350.346372374,226368.1472076,172598.40300432,179781.550059608,211521.569838473,206078.064817812,232557.881235203,250506.396171636,182593.907934721,186617.312840536,258869.71960053,160121.125769613,192829.324732608,241914.814039267
"1-(4-hydroxyphenyl)propane-1,2-diol",0,2472.48183697689,15669265.8891558,19694799.7564825,20290635.2470622,29827465.9315275,0,13787242.7385202,0,20725833.4753113,18239769.5951202,29415768.1987511,15567.4736359704,0,25193166.682071,8207196.76468439,21008589.9194704,52541171.2220231,38649.7059637844,0,0,51133.3852466564,80787.6135890689,0,0,0,0,32630.995097506,0,63349.4983778912,0,0,0,46658.756016569,75966.5789759885,74395.0804657972
"1-hydroxy-2-naphthoate",69651.6831578111,64866.3249263105,87355.8121271081,89270.0633724541,96110.3664024934,79330.4851507287,104553.320409275,67177.0350138867,96782.262865153,38325.816725465,54515.116405752,110100.526293669,83074.2905109702,78006.1278502938,109184.757899121,65946.8409517958,117781.391760838,91779.5142119395,96875.3506434847,83828.8940222861,76723.2352722646,75536.7146808102,79501.8848965532,90526.9970539333,81229.1865188214,71386.9358503691,97186.566324996,90399.2731194119,95236.0133641257,56260.0741860513,75339.1946642962,115371.951987745,61414.6482033387,85269.0346268938,85254.9718354137,101221.717641535
"1-Hydroxyepiacorone",139281.819546611,88603.9405237277,159615.596888805,145967.762720336,94965.5986203189,74368.2978220474,129870.67301425,124475.413445637,194592.679933685,63109.5471387357,142006.516779673,303972.854590671,99982.9961174726,177506.398847824,129327.390494691,362285.250199895,85272.7207301206,63748.4739734543,163258.663399995,67721.1025299925,125803.275926151,90813.3285975244,76610.0768028686,77547.3596531295,75266.0981347076,147368.719661196,138272.857517691,93091.4061723392,98406.798508207,40900.5309703259,31464.5880992421,43778.541472632,40509.5753025234,63997.2071499877,39247.1688527861,18294.580077094
"1-Isomangostin hydrate",23088.1526047332,55017.1407023291,60603.0377042521,29745.1389531376,60605.1990663391,67929.4853113623,33368.1407919008,45313.0425706896,72070.8163819789,57217.8493653248,57636.4288348555,50898.4104419642,23165.665992903,46168.3053867809,63404.2692989287,40442.9372117001,33990.536130342,19639.8555404856,24606.2489812803,36693.1222582443,62424.867659531,43551.5293863062,48143.7143270648,52222.4956137351,42819.7931395902,39167.3217682263,39110.3962071413,38637.2506834394,53952.6050168995,55775.6879208884,17043.6328156111,10926.1139794747,33823.6527294496,66514.3748931324,46849.2990030949,47678.9583418455
"1-Methylhistidine",16644.7413411403,17504.1617127729,18497.4588320799,17602.4434873329,27444.7990778107,24066.8669159853,18425.7771628326,25040.2485975155,20062.4457111984,20259.9502966942,19900.7163692859,22225.8844804608,27018.5025917185,21536.8201873479,27400.2190387867,29480.6124655817,47328.4018599473,45282.2657003462,17123.3816965982,18827.7833892373,20516.1904472572,20663.8917657842,23438.2348635221,22110.1824716684,30564.4696550865,28392.6921573205,27949.0252929452,27148.4750461662,27882.9527222003,73219.3170397358,41858.5889878486,46983.9206876795,56235.1976558806,59249.4089388255,75756.2374705114,54140.9795245274
"1-Methylinosine",9159.1110854034,3959.13645667407,7290.06109516589,10818.0260388272,6699.17940602141,4908.3202000513,5550.24145966324,7250.56972935815,6375.10180597052,7416.18395632173,6143.58965044646,7016.44266298142,5922.279433042,5910.86021666057,11408.355204947,9795.49026439691,7665.76336932151,12580.3438058137,5782.68563251517,6047.1544322341,9334.80701096534,7114.31187216637,7640.99303395835,11029.0934023041,8665.89171577378,9131.31456240153,11783.5791522047,15794.6240919112,12114.5645710445,9203.46772903907,8988.06334052485,12338.2696092982,9931.15836957786,6962.28429587429,7403.20909899498,10253.0796965377
"1-Octen-3-yl glucoside",12289.1020646725,11656.4582509546,739104.852528751,1200283.81265352,873443.597682655,1123554.5785185,18743.0298429598,426449.522442445,13244.1512944659,938697.156381156,671426.034574248,1819196.07619882,8666.77770135803,11972.7397426359,1026027.20512713,921309.994167884,998172.568904237,1899349.30506487,14904.8914842281,15044.67628349,10732.7755070566,17376.4908312296,15953.1128530989,18015.529640329,7015.248194137,13163.642917916,7885.81028471387,18874.7834411542,18585.0627027225,18307.287396832,14422.1877898137,15586.2057174921,9408.66764047018,17138.7179727664,15145.8349664174,21124.9760266468
"1-Pentanesulfenothioic acid",78746679.6650957,17636965.0235553,18061519.7981532,62737305.1711389,25664658.4494888,58299741.2187318,1262064.05840811,11841141.9057226,16468563.9987021,68021250.2775638,67612141.1036685,67343210.4590524,2184922.09701941,3080418.02585104,101307778.603458,34685451.2901524,4138573.14400326,2389545.35433216,132312353.4261,108239080.957904,102933615.347247,44138195.8800482,67325614.230229,145796224.248562,160109059.155601,114615406.020387,135227838.357404,57420102.2883651,162916936.817688,89568484.09531,94263386.0607066,121592150.725695,136231468.106194,27517920.1525889,68125421.5928995,87686566.8754739
